Date,Close,High,Low,Open,Volume,SMA20,SMA50,Signal,Position,Returns,Strategy_Returns,Equity,Buy_Hold
2021-01-01,14018.5,14049.849609375,13991.349609375,13996.099609375,358100,,,0,0.0,,,,
2021-01-04,14132.900390625,14147.9501953125,13953.75,14104.349609375,495000,,,0,0.0,0.00816067272711063,0.0,1.0,1.0081606727271106
2021-01-05,14199.5,14215.599609375,14048.150390625,14075.150390625,492500,,,0,0.0,0.004712380865514287,0.0,1.0,1.0129115097906338
2021-01-06,14146.25,14244.150390625,14039.900390625,14240.9501953125,632300,,,0,0.0,-0.0037501320469031096,-0.0,1.0,1.009112957877091
2021-01-07,14137.349609375,14256.25,14123.099609375,14253.75,559200,,,0,0.0,-0.0006291696120880319,-0.0,1.0,1.0084780546688306
2021-01-08,14347.25,14367.2998046875,14221.650390625,14258.400390625,613500,,,0,0.0,0.014847223590326086,0.0,1.0,1.0234511538324358
2021-01-11,14484.75,14498.2001953125,14383.099609375,14474.0498046875,672900,,,0,0.0,0.009583718134137165,0.0,1.0,1.0332596212148233
2021-01-12,14563.4501953125,14590.650390625,14432.849609375,14473.7998046875,929600,,,0,0.0,0.005433314024232416,0.0,1.0,1.0388736452054428
2021-01-13,14564.849609375,14653.349609375,14435.7001953125,14639.7998046875,874000,,,0,0.0,9.609083312889233e-05,0.0,1.0,1.0389734714395262
2021-01-14,14595.599609375,14617.7998046875,14471.5,14550.0498046875,620200,,,0,0.0,0.002111247340323086,0.0,1.0,1.0411670014177692
2021-01-15,14433.7001953125,14617.4501953125,14357.849609375,14594.349609375,789600,,,0,0.0,-0.011092344158201595,-0.0,1.0,1.0296180187118806
2021-01-18,14281.2998046875,14459.150390625,14222.7998046875,14453.2998046875,762000,,,0,0.0,-0.010558650142566628,-0.0,1.0,1.0187466422718192
2021-01-19,14521.150390625,14546.0498046875,14350.849609375,14371.650390625,546100,,,0,0.0,0.016794730817062842,0.0,1.0,1.035856217899561
2021-01-20,14644.7001953125,14666.4501953125,14517.5498046875,14538.2998046875,623100,,,0,0.0,0.008508265623863087,0.0,1.0,1.0446695577495806
2021-01-21,14590.349609375,14753.5498046875,14517.25,14730.9501953125,704600,,,0,0.0,-0.0037112802046228577,-0.0,1.0,1.0407924962995325
2021-01-22,14371.900390625,14619.900390625,14357.75,14583.400390625,776800,,,0,0.0,-0.014972171647596122,-0.0,1.0,1.0252095723954058
2021-01-25,14238.900390625,14491.099609375,14218.599609375,14477.7998046875,618600,,,0,0.0,-0.009254169343308138,-0.0,1.0,1.0157221094000781
2021-01-27,13967.5,14237.9501953125,13929.2998046875,14237.9501953125,660700,,,0,0.0,-0.019060488041877988,-0.0,1.0,0.9963619502799869
